Depth,Sonic 
0.17862,0.548478291
0.17872,0.55352775
0.17882,0.559545104
0.17902,0.556264104
0.17912,0.542336259
0.18082,0.576419287
0.18092,0.588946145
0.18102,0.595695162
0.18112,0.596164345
0.18122,0.5924076
0.18132,0.58952032
0.18142,0.589835296
0.18152,0.592253393
0.18162,0.593647818
0.18172,0.592069657
0.18182,0.590609612
0.18192,0.590530868
0.19172,0.562710688
0.19182,0.562931171
0.19192,0.563510595
0.19202,0.563761592
0.19212,0.563264192
0.19222,0.562900329
0.19262,0.576698172
0.19272,0.585757013
0.19282,0.588663979
0.19292,0.584185414
0.19302,0.576055096
0.19892,0.596354643
0.19902,0.597355348
0.19912,0.597089587
0.19922,0.596282461
0.20132,0.562770327
0.20142,0.57396838
0.20152,0.586639602
0.20162,0.593939827
0.20172,0.588916616
0.20182,0.570805496
0.20192,0.551677266
0.20202,0.547169172
0.20212,0.559404021
0.20222,0.577213289
0.20232,0.587184248
0.20242,0.5809241
0.20252,0.564318959
0.20262,0.551578836
0.20272,0.547959893
0.20282,0.549282136
0.202836,0.622596959
0.20292,0.550364866
0.20302,0.549672575
0.20312,0.548580002
0.20322,0.549971146
0.20332,0.554295504
0.20342,0.559003739
0.20352,0.564072884
0.20362,0.56622522
0.20372,0.563026245
0.20382,0.564446918
0.20392,0.582492418
0.20402,0.617697548
0.20412,0.60241787
0.20422,0.63217654
0.20432,0.631175896
0.20442,0.609196477
0.20452,0.594123563
0.20462,0.582581005
0.20472,0.575503888
0.20482,0.577360934
0.20492,0.584004959
0.20502,0.582124946
0.20512,0.570106643
0.20522,0.555184655
0.2119616,0.598949015
0.212114,0.603557171
0.2122664,0.596674954
0.2124188,0.576614592
0.2125712,0.595947741
0.2127236,0.581886687
0.212876,0.617651741
0.2130284,0.60660002
0.2131808,0.600368417
0.2137904,0.608941342
0.2139428,0.59013629
0.22062,0.58108815
0.22072,0.582840204
0.22082,0.584487266
0.22092,0.585435475
0.22102,0.586003088
0.22112,0.586839743
0.22122,0.588260416
0.22132,0.589812329
0.22142,0.591380647
0.22152,0.5933919
0.22162,0.595120987
0.22172,0.596791016
0.22182,0.599317386
0.22192,0.601230209
0.22202,0.600590414
0.22212,0.597640795
0.22222,0.594323704
0.22232,0.59217793
0.22242,0.591679218
0.22252,0.592453534
0.22262,0.593165511
0.22272,0.592345261
0.22282,0.589822172
0.22292,0.587348298
0.22302,0.586573982
0.22312,0.587942159
0.22322,0.590576802
0.22332,0.593073643
0.22342,0.595432682
0.22352,0.59854307
0.22362,0.601833913
0.22372,0.602788684
0.22382,0.600419802
0.22392,0.595580327
0.22402,0.590399628
0.22412,0.589674527
0.22422,0.594710862
0.22432,0.599327229
0.22442,0.599271452
0.22452,0.59690257
0.22462,0.594697738
0.22472,0.59398248
0.22482,0.595038962
0.22492,0.596262775
0.22502,0.597371753
0.22512,0.599281295
0.22522,0.602240757
0.22532,0.605003359
0.22542,0.606460123
0.22552,0.607181943
